School_Name,School_Type,Longitude,Latitude,Address_Town,Address_Postcode,Region_Name,LGA_Name,LGA_ID
Buckley Park College,Secondary,144.89775,-37.74712,Essendon,3040,SOUTH-WESTERN VICTORIA,Moonee Valley (C),506
Camberwell High School,Secondary,145.07282,-37.83015,Canterbury,3126,NORTH-EASTERN VICTORIA,Boroondara (C),111
Canterbury Girls Secondary College,Secondary,145.0691,-37.82029,Canterbury,3126,NORTH-EASTERN VICTORIA,Boroondara (C),111
Casterton Secondary College,Secondary,141.38749,-37.5888,Casterton,3311,SOUTH-WESTERN VICTORIA,Glenelg (S),241
Cheltenham Secondary College,Secondary,145.06868,-37.95376,Cheltenham,3192,SOUTH-EASTERN VICTORIA,Kingston (C),343
Cobram Secondary College,Secondary,145.65412,-35.9136,Cobram,3644,NORTH-EASTERN VICTORIA,Moira (S),490
Cohuna Secondary College,Secondary,144.22642,-35.8135,Cohuna,3568,NORTH-WESTERN VICTORIA,Gannawarra (S),225
Cranbourne Secondary College,Secondary,145.28614,-38.10759,Cranbourne,3977,SOUTH-EASTERN VICTORIA,Casey (C),161
Cranbourne West Secondary College,Secondary,145.24651,-38.10672,Cranbourne West,3977,SOUTH-EASTERN VICTORIA,Casey (C),161
Croydon Community School,Secondary,145.28126,-37.78935,Croydon,3136,NORTH-EASTERN VICTORIA,Maroondah (C),441
Mount Alexander 7-12 College,Secondary,144.93324,-37.78215,Flemington,3031,SOUTH-WESTERN VICTORIA,Moonee Valley (C),506
Dimboola Memorial Secondary College,Secondary,142.03441,-36.44984,Dimboola,3414,SOUTH-WESTERN VICTORIA,Hindmarsh (S),298
East Doncaster Secondary College,Secondary,145.15856,-37.78213,Doncaster East,3109,NORTH-EASTERN VICTORIA,Manningham (C),421
Donald High School,Secondary,142.97396,-36.37078,Donald,3480,SOUTH-WESTERN VICTORIA,Buloke (S),127
Doncaster Secondary College,Secondary,145.13805,-37.78458,Doncaster,3108,NORTH-EASTERN VICTORIA,Manningham (C),421
Drouin Secondary College,Secondary,145.85098,-38.14466,Drouin,3818,SOUTH-EASTERN VICTORIA,Baw Baw (S),83
Eaglehawk Secondary College,Secondary,144.26163,-36.72006,Eaglehawk,3556,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Eltham High School,Secondary,145.14172,-37.72444,Eltham,3095,NORTH-WESTERN VICTORIA,Nillumbik (S),571
Elwood College,Secondary,144.9852,-37.88232,Elwood,3184,SOUTH-EASTERN VICTORIA,Port Phillip (C),590
Epping Secondary College,Secondary,145.03343,-37.644,Epping,3076,NORTH-WESTERN VICTORIA,Whittlesea (C),707
Euroa Secondary College,Secondary,145.5648,-36.7582,Euroa,3666,NORTH-EASTERN VICTORIA,Strathbogie (S),643
Fairhills High School,Secondary,145.25904,-37.87321,Knoxfield,3180,NORTH-EASTERN VICTORIA,Knox (C),367
Bendigo South East 7-10 Secondary College,Secondary,144.29759,-36.77579,Bendigo,3550,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Port Melbourne Secondary College,Secondary,144.93204,-37.83201,Port Melbourne,3207,SOUTH-EASTERN VICTORIA,Port Phillip (C),590
Footscray High School,Secondary,144.89376,-37.79104,Footscray,3011,SOUTH-WESTERN VICTORIA,Maribyrnong (C),433
Foster Secondary College,Secondary,146.19741,-38.65174,Foster,3960,SOUTH-EASTERN VICTORIA,South Gippsland (S),617
Frankston High School,Secondary,145.12895,-38.16219,Frankston,3199,SOUTH-EASTERN VICTORIA,Frankston (C),217
Geelong High School,Secondary,144.37373,-38.15303,East Geelong,3219,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
North Geelong Secondary College,Secondary,144.34079,-38.10996,North Geelong,3215,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
Gisborne Secondary College,Secondary,144.58477,-37.49811,Gisborne,3437,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
Gladstone Park Secondary College,Secondary,144.89,-37.68977,Gladstone Park,3043,NORTH-WESTERN VICTORIA,Hume (C),327
Bundoora Secondary College,Secondary,145.06198,-37.7075,Bundoora,3083,NORTH-WESTERN VICTORIA,Banyule (C),66
Greater Shepparton Secondary College,Secondary,145.4154,-36.37207,Shepparton,3630,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Western Port Secondary College,Secondary,145.17638,-38.30817,Hastings,3915,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
Healesville High School,Secondary,145.53081,-37.64359,Healesville,3777,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Heywood District Secondary College,Secondary,141.6205,-38.12927,Heywood,3304,SOUTH-WESTERN VICTORIA,Glenelg (S),241
Highvale Secondary College,Secondary,145.17682,-37.86541,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Monash (C),497
Kerang Technical High School,Secondary,143.9138,-35.72565,Kerang,3579,NORTH-WESTERN VICTORIA,Gannawarra (S),225
Kensington Community High School,Secondary,144.92558,-37.78791,Kensington,3031,SOUTH-WESTERN VICTORIA,Melbourne (C),460
Kew High School,Secondary,145.06336,-37.79555,Kew East,3102,NORTH-EASTERN VICTORIA,Boroondara (C),111
Koonung Secondary College,Secondary,145.11756,-37.80219,Mont Albert North,3129,NORTH-EASTERN VICTORIA,Whitehorse (C),698
Koo Wee Rup Secondary College,Secondary,145.49578,-38.19709,Koo Wee Rup,3981,SOUTH-EASTERN VICTORIA,Cardinia (S),145
Korumburra Secondary College,Secondary,145.8039,-38.44387,Korumburra,3950,SOUTH-EASTERN VICTORIA,South Gippsland (S),617
Kyabram P-12 College,Pri/Sec,145.05621,-36.31748,Kyabram,3620,NORTH-WESTERN VICTORIA,Campaspe (S),137
Kyneton High School,Secondary,144.45817,-37.25133,Kyneton,3444,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
Lalor Secondary College,Secondary,145.03062,-37.67266,Lalor,3075,NORTH-WESTERN VICTORIA,Whittlesea (C),707
Lalor North Secondary College,Secondary,145.03412,-37.66077,Epping,3076,NORTH-WESTERN VICTORIA,Whittlesea (C),707
Lilydale High School,Secondary,145.34392,-37.7607,Lilydale,3140,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Walcom Ngarrwa Secondary College,Secondary,144.60216,-37.90708,Werribee,3030,SOUTH-WESTERN VICTORIA,Wyndham (C),726
Lorne P-12 College,Pri/Sec,143.97389,-38.53918,Lorne,3232,SOUTH-WESTERN VICTORIA,Surf Coast (S),649
