School_Name,School_Type,Longitude,Latitude,Address_Town,Address_Postcode,Region_Name,LGA_Name,LGA_ID
Parade College,Secondary,145.06698,-37.69018,BUNDOORA,3083,NORTH-WESTERN VICTORIA,Banyule (C),66
Simonds Catholic College,Secondary,144.95288,-37.80597,WEST MELBOURNE,3003,SOUTH-WESTERN VICTORIA,Melbourne (C),460
St Marys College Melbourne,Secondary,144.997,-37.85936,ST KILDA EAST,3183,SOUTH-EASTERN VICTORIA,Port Phillip (C),590
St Patrick's College Ballarat,Secondary,143.83156,-37.55971,BALLARAT,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
St Patrick's School,Primary,143.84715,-37.5644,BALLARAT,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
St Alipius' Parish School,Primary,143.87401,-37.5617,BALLARAT EAST,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
Emmanuel College Warrnambool,Secondary,142.47736,-38.37099,WARRNAMBOOL,3280,SOUTH-WESTERN VICTORIA,Warrnambool (C),673
Loreto College,Secondary,143.82347,-37.55686,BALLARAT,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
St Mary's School,Primary,146.08901,-37.05835,MANSFIELD,3722,NORTH-EASTERN VICTORIA,Mansfield (S),425
Sacred Heart School,Primary,144.8814,-37.84003,NEWPORT,3015,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),311
St Mary's School,Primary,144.90089,-37.8635,WILLIAMSTOWN,3016,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),311
St Michaels Primary School,Primary,144.94625,-37.7933,NORTH MELBOURNE,3051,SOUTH-WESTERN VICTORIA,Melbourne (C),460
St Patrick's School,Primary,146.32195,-36.35616,WANGARATTA,3677,NORTH-EASTERN VICTORIA,Wangaratta (RC),670
St Mary's School,Primary,144.99759,-37.85902,ST KILDA EAST,3183,SOUTH-EASTERN VICTORIA,Port Phillip (C),590
Assumption College,Secondary,144.94763,-37.30101,KILMORE,3764,NORTH-EASTERN VICTORIA,Mitchell (S),485
St Brendan's School,Primary,144.93173,-37.7847,FLEMINGTON,3031,SOUTH-WESTERN VICTORIA,Moonee Valley (C),506
Catherine McAuley College,Secondary,144.27336,-36.75344,BENDIGO,3550,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
St Augustine's School,Primary,143.7368,-37.05183,MARYBOROUGH,3465,NORTH-WESTERN VICTORIA,Central Goldfields (S),167
St Mary's School,Primary,147.58563,-37.8414,BAIRNSDALE,3875,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
St Aloysius' School,Primary,143.83767,-37.57811,REDAN,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
St Joseph's School,Primary,145.03432,-37.82646,HAWTHORN,3122,NORTH-EASTERN VICTORIA,Boroondara (C),111
Sacre Coeur,Pri/Sec,145.05157,-37.86175,GLEN IRIS,3146,SOUTH-EASTERN VICTORIA,Stonnington (C),635
St Joseph's School,Primary,144.99672,-37.77462,NORTHCOTE,3070,NORTH-WESTERN VICTORIA,Darebin (C),189
Sacred Heart School,Primary,145.00377,-37.74481,PRESTON,3072,NORTH-WESTERN VICTORIA,Darebin (C),189
Sacred Heart School,Primary,146.40432,-38.23943,MORWELL,3840,SOUTH-EASTERN VICTORIA,Latrobe (C),381
St Michael's School,Primary,146.5347,-38.19516,TRARALGON,3844,SOUTH-EASTERN VICTORIA,Latrobe (C),381
St Brendan's School,Primary,145.40765,-36.37473,SHEPPARTON,3630,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
St Mary's College,Pri/Sec,145.14092,-37.0199,SEYMOUR,3660,NORTH-EASTERN VICTORIA,Mitchell (S),485
St Mary's School,Primary,142.98517,-36.37358,DONALD,3480,NORTH-WESTERN VICTORIA,Buloke (S),127
St Mary's Primary School,Primary,147.06233,-38.11071,SALE,3850,SOUTH-EASTERN VICTORIA,Wellington (S),681
St Patrick's Primary School,Primary,144.94811,-37.29939,KILMORE,3764,NORTH-EASTERN VICTORIA,Mitchell (S),485
St Brigid's School,Primary,144.22873,-37.5999,BALLAN,3342,SOUTH-WESTERN VICTORIA,Moorabool (S),515
St Patrick's School,Primary,144.0909,-37.58065,GORDON,3345,SOUTH-WESTERN VICTORIA,Moorabool (S),515
St Mary's School,Primary,144.73173,-37.27876,LANCEFIELD,3435,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
St Augustine's School,Primary,143.89226,-37.42851,CRESWICK,3363,SOUTH-WESTERN VICTORIA,Hepburn (S),291
St Monica's School,Primary,144.2448,-36.7942,KANGAROO FLAT,3555,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
St Joseph's School,Primary,145.97412,-36.55396,BENALLA,3672,NORTH-EASTERN VICTORIA,Benalla (RC),101
Sacred Heart College,Secondary,144.34015,-38.1495,NEWTOWN,3220,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
St Patrick's School,Primary,143.24686,-36.61708,ST ARNAUD,3478,SOUTH-WESTERN VICTORIA,Northern Grampians (S),581
St Joseph's College Mildura,Secondary,142.15346,-34.18872,MILDURA,3500,NORTH-WESTERN VICTORIA,Mildura (RC),478
Star of the Sea College,Secondary,144.99678,-37.89673,BRIGHTON,3186,SOUTH-EASTERN VICTORIA,Bayside (C),91
St James' School,Primary,144.99766,-37.89794,BRIGHTON,3186,SOUTH-EASTERN VICTORIA,Bayside (C),91
St Peter's School,Primary,145.07091,-37.92304,BENTLEIGH EAST,3165,SOUTH-EASTERN VICTORIA,Glen Eira (C),231
St Liborius' School,Primary,144.25729,-36.72348,EAGLEHAWK,3556,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Damascus College,Secondary,143.87035,-37.61146,MOUNT CLEAR,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
St Mary's School,Primary,144.22096,-37.06396,CASTLEMAINE,3450,NORTH-WESTERN VICTORIA,Mount Alexander (S),543
Sacred Heart College,Secondary,144.45882,-37.25289,KYNETON,3444,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
St Ambrose's School,Primary,144.53049,-37.35779,WOODEND,3442,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
St Joseph's School,Primary,143.35105,-36.27177,CHARLTON,3525,NORTH-WESTERN VICTORIA,Buloke (S),127
Sacred Heart School,Primary,145.22392,-36.43983,TATURA,3616,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
St Paul's School,Primary,144.96785,-37.73893,COBURG,3058,NORTH-WESTERN VICTORIA,Merri-bek (C),525
St Andrew's School,Primary,144.65057,-37.90127,WERRIBEE,3030,SOUTH-WESTERN VICTORIA,Wyndham (C),726
St Brigid's School,Primary,144.59009,-37.49091,GISBORNE,3437,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
Our Lady of Mount Carmel School,Primary,144.7363,-37.58004,SUNBURY,3429,NORTH-WESTERN VICTORIA,Hume (C),327
St Joseph's School,Primary,146.60706,-36.14598,CHILTERN,3683,NORTH-EASTERN VICTORIA,Indigo (S),335
St Mary's School,Primary,146.46298,-36.05042,RUTHERGLEN,3685,NORTH-EASTERN VICTORIA,Indigo (S),335
St Mary's School,Primary,143.87249,-36.57114,INGLEWOOD,3517,NORTH-WESTERN VICTORIA,Loddon (S),394
FCJ College,Secondary,145.97539,-36.55277,BENALLA,3672,NORTH-EASTERN VICTORIA,Benalla (RC),101
St Patrick's School,Primary,145.47453,-38.06938,PAKENHAM,3810,SOUTH-EASTERN VICTORIA,Cardinia (S),145
Sacred Heart Primary School,Primary,146.00925,-36.01072,YARRAWONGA,3730,NORTH-EASTERN VICTORIA,Moira (S),490
Xavier College,Pri/Sec,145.0311,-37.81386,KEW,3101,NORTH-EASTERN VICTORIA,Boroondara (C),111
St Joseph's School,Primary,142.28978,-37.87751,PENSHURST,3289,SOUTH-WESTERN VICTORIA,Southern Grampians (S),626
Marian College,Secondary,142.93777,-37.28474,ARARAT,3377,SOUTH-WESTERN VICTORIA,Ararat (RC),26
Sacred Heart School,Primary,141.41363,-37.58601,CASTERTON,3311,SOUTH-WESTERN VICTORIA,Glenelg (S),241
St Bernard's School,Primary,144.43486,-37.67227,BACCHUS MARSH,3340,SOUTH-WESTERN VICTORIA,Moorabool (S),515
St Patrick's School,Primary,142.36897,-38.29989,KOROIT,3282,SOUTH-WESTERN VICTORIA,Moyne (S),549
Academy of Mary Immaculate,Secondary,144.97441,-37.80371,FITZROY,3065,NORTH-WESTERN VICTORIA,Yarra (C),735
Sacred Heart School,Primary,144.97852,-37.80205,FITZROY,3065,NORTH-WESTERN VICTORIA,Yarra (C),735
Mount Lilydale Mercy College,Secondary,145.35775,-37.75076,LILYDALE,3140,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
St Monica's School,Primary,144.90684,-37.80116,FOOTSCRAY,3011,SOUTH-WESTERN VICTORIA,Maribyrnong (C),433
St Augustine's School,Primary,144.8899,-37.8137,YARRAVILLE,3013,SOUTH-WESTERN VICTORIA,Maribyrnong (C),433
Ss Michael and John's Primary School,Primary,142.20399,-36.714,HORSHAM,3400,SOUTH-WESTERN VICTORIA,Horsham (RC),319
Trinity College Colac,Secondary,143.57693,-38.35203,COLAC,3250,SOUTH-WESTERN VICTORIA,Colac-Otway (S),175
St Mary's School,Primary,143.5854,-38.33473,COLAC,3250,SOUTH-WESTERN VICTORIA,Colac-Otway (S),175
Kilbreda College,Secondary,145.06571,-37.98415,MENTONE,3194,SOUTH-EASTERN VICTORIA,Kingston (C),343
Padua College,Secondary,145.072,-38.21826,MORNINGTON,3931,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
Notre Dame College,Secondary,145.40764,-36.37471,SHEPPARTON,3630,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
Sacred Heart College,Secondary,146.00921,-36.00866,YARRAWONGA,3730,NORTH-EASTERN VICTORIA,Moira (S),490
St Joseph's School,Primary,145.4436,-36.08646,NUMURKAH,3636,NORTH-EASTERN VICTORIA,Moira (S),490
St Joseph's School,Primary,142.48614,-38.37249,WARRNAMBOOL,3280,SOUTH-WESTERN VICTORIA,Warrnambool (C),673
St Mary's School,Primary,144.363,-38.15319,GEELONG,3220,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
St Patrick's School,Primary,144.34604,-38.13484,GEELONG WEST,3218,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
St Monica's Primary School,Primary,144.92318,-37.75966,MOONEE PONDS,3039,SOUTH-WESTERN VICTORIA,Moonee Valley (C),506
St Patrick's School,Primary,145.35261,-37.75273,LILYDALE,3140,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
Catholic Ladies' College Ltd,Secondary,145.14356,-37.71152,ELTHAM,3095,NORTH-WESTERN VICTORIA,Nillumbik (S),571
St Joseph's School,Primary,144.98639,-37.80046,COLLINGWOOD,3066,NORTH-WESTERN VICTORIA,Yarra (C),735
St Mary's School,Primary,142.3896,-36.25408,WARRACKNABEAL,3393,SOUTH-WESTERN VICTORIA,Yarriambiack (S),763
St Mary's School,Primary,144.72583,-36.13426,ECHUCA,3564,NORTH-WESTERN VICTORIA,Campaspe (S),137
Sacred Heart School,Primary,145.03744,-37.80817,KEW,3101,NORTH-EASTERN VICTORIA,Boroondara (C),111
St Mary's School,Primary,142.93861,-37.2855,ARARAT,3377,SOUTH-WESTERN VICTORIA,Ararat (RC),26
St Joseph's College,Secondary,144.74337,-36.11815,ECHUCA,3564,NORTH-WESTERN VICTORIA,Campaspe (S),137
St Patrick's School,Primary,142.23167,-38.38613,PORT FAIRY,3284,SOUTH-WESTERN VICTORIA,Moyne (S),549
St Joseph's School,Primary,144.70117,-36.36476,ROCHESTER,3561,NORTH-WESTERN VICTORIA,Campaspe (S),137
St Aloysius College,Secondary,144.94287,-37.79289,NORTH MELBOURNE,3051,SOUTH-WESTERN VICTORIA,Melbourne (C),460
All Saints Parish School,Primary,141.59279,-38.35947,PORTLAND,3305,SOUTH-WESTERN VICTORIA,Glenelg (S),241
Catholic College Sale,Secondary,147.06378,-38.10871,SALE,3850,SOUTH-EASTERN VICTORIA,Wellington (S),681
St Augustine's College,Pri/Sec,145.04471,-36.30955,KYABRAM,3620,NORTH-WESTERN VICTORIA,Campaspe (S),137
Our Holy Redeemer School,Primary,145.10008,-37.82032,SURREY HILLS,3127,NORTH-EASTERN VICTORIA,Boroondara (C),111
Our Lady of the Sacred Heart Primary,Primary,144.61562,-36.49302,ELMORE,3558,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
St Joseph's School,Primary,146.68281,-36.36007,BEECHWORTH,3747,NORTH-EASTERN VICTORIA,Indigo (S),335
St Joseph's School,Primary,141.69473,-37.60538,COLERAINE,3315,SOUTH-WESTERN VICTORIA,Southern Grampians (S),626
Mercy Regional College,Secondary,143.13956,-38.235,CAMPERDOWN,3260,SOUTH-WESTERN VICTORIA,Corangamite (S),183
St Patrick's School,Primary,143.139,-38.23503,CAMPERDOWN,3260,SOUTH-WESTERN VICTORIA,Corangamite (S),183
St Columba's College,Secondary,144.91429,-37.7572,ESSENDON,3040,SOUTH-WESTERN VICTORIA,Moonee Valley (C),506
St Michael's School,Primary,144.15136,-37.33724,DAYLESFORD,3460,SOUTH-WESTERN VICTORIA,Hepburn (S),291
St Mary's School,Primary,142.05091,-37.74114,HAMILTON,3300,SOUTH-WESTERN VICTORIA,Southern Grampians (S),626
St Kilian's School,Primary,144.28421,-36.75458,BENDIGO,3550,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
Genazzano FCJ College,Pri/Sec,145.05578,-37.80897,KEW,3101,NORTH-EASTERN VICTORIA,Boroondara (C),111
St Augustine's School,Primary,146.88922,-36.11702,WODONGA,3690,NORTH-EASTERN VICTORIA,Wodonga (C),717
St Patrick's School,Primary,142.78726,-37.05935,STAWELL,3380,SOUTH-WESTERN VICTORIA,Northern Grampians (S),581
St Patrick's School,Primary,145.07016,-37.98357,MENTONE,3194,SOUTH-EASTERN VICTORIA,Kingston (C),343
St Thomas' School,Primary,142.90996,-38.2398,TERANG,3264,SOUTH-WESTERN VICTORIA,Corangamite (S),183
St Joseph's School,Primary,145.91202,-38.15861,WARRAGUL,3820,SOUTH-EASTERN VICTORIA,Baw Baw (S),83
St Joseph's School,Primary,144.27835,-36.76942,QUARRY HILL,3550,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
St John's School,Primary,145.06655,-37.75764,HEIDELBERG,3084,NORTH-WESTERN VICTORIA,Banyule (C),66
Our Lady of Mercy College,Secondary,145.06759,-37.75793,HEIDELBERG,3084,NORTH-WESTERN VICTORIA,Banyule (C),66
St Joseph's School,Primary,144.94298,-37.76229,BRUNSWICK WEST,3055,NORTH-WESTERN VICTORIA,Merri-bek (C),525
St Brigid's School,Primary,145.09178,-38.00804,MORDIALLOC,3195,SOUTH-EASTERN VICTORIA,Kingston (C),343
St Columba's School,Primary,143.86007,-37.54591,BALLARAT NORTH,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
Our Lady Help of Christians School,Primary,144.97786,-37.77634,BRUNSWICK EAST,3057,NORTH-WESTERN VICTORIA,Merri-bek (C),525
St Anthony's School,Primary,145.0471,-37.88689,GLEN HUNTLY,3163,SOUTH-EASTERN VICTORIA,Glen Eira (C),231
St Mary's School,Primary,145.22084,-37.99067,DANDENONG,3175,SOUTH-EASTERN VICTORIA,Greater Dandenong (C),267
Sacred Heart School,Primary,145.00855,-37.95148,SANDRINGHAM,3191,SOUTH-EASTERN VICTORIA,Bayside (C),91
St Joseph's School,Primary,145.60341,-38.60086,WONTHAGGI,3995,SOUTH-EASTERN VICTORIA,Bass Coast (S),74
St Mary's School,Primary,144.91127,-37.77384,ASCOT VALE,3032,SOUTH-WESTERN VICTORIA,Moonee Valley (C),506
St Joseph's School,Primary,143.91781,-35.72546,KERANG,3579,NORTH-WESTERN VICTORIA,Gannawarra (S),225
De La Salle College,Pri/Sec,145.03218,-37.85768,MALVERN,3144,SOUTH-EASTERN VICTORIA,Stonnington (C),635
St Margaret Mary's School,Primary,144.96825,-37.75863,BRUNSWICK NORTH,3056,NORTH-WESTERN VICTORIA,Merri-bek (C),525
St Francis Xavier School,Primary,143.90299,-37.56161,BALLARAT EAST,3350,SOUTH-WESTERN VICTORIA,Ballarat (C),57
St Laurence O'Toole School,Primary,145.9543,-38.47894,LEONGATHA,3953,SOUTH-EASTERN VICTORIA,South Gippsland (S),617
St Joseph's School,Primary,145.82232,-38.43604,KORUMBURRA,3950,SOUTH-EASTERN VICTORIA,South Gippsland (S),617
St Brigid's School,Primary,145.5158,-37.65868,HEALESVILLE,3777,NORTH-EASTERN VICTORIA,Yarra Ranges (S),745
St James School,Primary,145.57319,-38.07303,NAR NAR GOON,3812,SOUTH-EASTERN VICTORIA,Cardinia (S),145
St Mary's School,Primary,145.05292,-37.87302,MALVERN EAST,3145,SOUTH-EASTERN VICTORIA,Stonnington (C),635
Holy Rosary School,Primary,144.92878,-37.79558,KENSINGTON,3031,SOUTH-WESTERN VICTORIA,Melbourne (C),460
St Aloysius' School,Primary,144.6553,-38.26868,QUEENSCLIFF,3225,SOUTH-WESTERN VICTORIA,Queenscliffe (B),608
St Anthony's School,Primary,145.02036,-37.78007,ALPHINGTON,3078,NORTH-WESTERN VICTORIA,Darebin (C),189
St Joseph's School,Primary,145.03116,-37.85807,MALVERN,3144,SOUTH-EASTERN VICTORIA,Stonnington (C),635
St Mary's School,Primary,146.67597,-38.5569,YARRAM,3971,SOUTH-EASTERN VICTORIA,Wellington (S),681
Holy Rosary School,Primary,144.31057,-36.72487,WHITE HILLS,3550,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
St Columba's School,Primary,144.98112,-37.88253,ELWOOD,3184,SOUTH-EASTERN VICTORIA,Port Phillip (C),590
Our Lady of the Rosary,Primary,144.46212,-37.25051,KYNETON,3444,NORTH-WESTERN VICTORIA,Macedon Ranges (S),413
St Mary's School,Primary,143.5456,-35.32846,SWAN HILL,3585,NORTH-WESTERN VICTORIA,Swan Hill (RC),661
St Mary's School,Primary,145.1917,-38.30344,HASTINGS,3915,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
St Brendan's School,Primary,143.5188,-38.27065,CORAGULAC,3249,SOUTH-WESTERN VICTORIA,Colac-Otway (S),175
Our Lady of the Immaculate Conception School,Primary,144.83556,-37.78945,SUNSHINE,3020,SOUTH-WESTERN VICTORIA,Brimbank (C),118
St Mary's School,Primary,145.00166,-37.75684,THORNBURY,3071,NORTH-WESTERN VICTORIA,Darebin (C),189
St John's School,Primary,142.44614,-38.3515,DENNINGTON,3280,SOUTH-WESTERN VICTORIA,Warrnambool (C),673
St Brigid's College,Secondary,142.20795,-36.71731,HORSHAM,3400,SOUTH-WESTERN VICTORIA,Horsham (RC),319
St Joan of Arc School,Primary,144.99415,-37.92011,BRIGHTON,3186,SOUTH-EASTERN VICTORIA,Bayside (C),91
St John's School,Primary,145.56987,-36.75337,EUROA,3666,NORTH-EASTERN VICTORIA,Strathbogie (S),643
St John's School,Primary,144.88522,-37.79582,FOOTSCRAY,3011,SOUTH-WESTERN VICTORIA,Maribyrnong (C),433
St Joseph's School,Primary,145.65236,-35.91707,COBRAM,3644,NORTH-EASTERN VICTORIA,Moira (S),490
Mary Immaculate School,Primary,145.03876,-37.77194,IVANHOE,3079,NORTH-WESTERN VICTORIA,Banyule (C),66
St Joseph's School,Primary,145.15405,-36.78161,NAGAMBIE,3608,NORTH-EASTERN VICTORIA,Strathbogie (S),643
Our Lady of Lourdes School,Primary,145.00946,-37.85246,PRAHRAN EAST,3181,SOUTH-EASTERN VICTORIA,Stonnington (C),635
St Joseph's School,Primary,148.45563,-37.70917,ORBOST,3888,SOUTH-EASTERN VICTORIA,East Gippsland (S),211
St Mary's School,Primary,146.72693,-36.55357,MYRTLEFORD,3737,NORTH-EASTERN VICTORIA,Alpine (S),11
St Therese's School,Primary,144.91031,-37.75111,ESSENDON,3040,SOUTH-WESTERN VICTORIA,Moonee Valley (C),506
Sacred Heart School,Primary,145.42461,-37.21455,YEA,3717,NORTH-EASTERN VICTORIA,Murrindindi (S),562
Our Lady of Good Counsel School,Primary,145.06279,-37.81108,DEEPDENE,3103,NORTH-EASTERN VICTORIA,Boroondara (C),111
St Joseph's School,Primary,145.11859,-38.05544,CHELSEA,3196,SOUTH-EASTERN VICTORIA,Kingston (C),343
St Finbar's School,Primary,145.01746,-37.91628,BRIGHTON EAST,3187,SOUTH-EASTERN VICTORIA,Bayside (C),91
Loreto Mandeville Hall,Pri/Sec,145.01489,-37.84819,TOORAK,3142,SOUTH-EASTERN VICTORIA,Stonnington (C),635
St Dominic's School,Primary,145.08384,-37.83892,CAMBERWELL EAST,3124,NORTH-EASTERN VICTORIA,Boroondara (C),111
St Mary's School,Primary,145.0009,-37.93305,HAMPTON,3188,SOUTH-EASTERN VICTORIA,Bayside (C),91
Holy Rosary School,Primary,144.70111,-36.91768,HEATHCOTE,3523,NORTH-WESTERN VICTORIA,Greater Bendigo (C),262
St Mary's School,Primary,144.21854,-35.80823,COHUNA,3568,NORTH-WESTERN VICTORIA,Gannawarra (S),225
St Joseph's School,Primary,145.20281,-38.36147,CRIB POINT,3919,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
St Fidelis' School,Primary,144.95156,-37.74984,MORELAND,3058,NORTH-WESTERN VICTORIA,Merri-bek (C),525
St Francis Xavier's School,Primary,145.13149,-37.81849,BOX HILL,3128,NORTH-EASTERN VICTORIA,Whitehorse (C),698
St Mary's School,Primary,144.82838,-37.86666,ALTONA,3018,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),311
Our Lady Help of Christians School,Primary,145.14791,-37.71612,ELTHAM,3095,NORTH-WESTERN VICTORIA,Nillumbik (S),571
Our Lady of the Sacred Heart School,Primary,142.05309,-34.16686,MERBEIN,3505,NORTH-WESTERN VICTORIA,Mildura (RC),478
St Francis Xavier School,Primary,145.1262,-38.1488,FRANKSTON,3199,SOUTH-EASTERN VICTORIA,Frankston (C),217
Our Lady of Sion College,Secondary,145.12992,-37.81835,BOX HILL,3128,NORTH-EASTERN VICTORIA,Whitehorse (C),698
St Gabriel's School,Primary,145.00512,-37.71802,RESERVOIR,3073,NORTH-WESTERN VICTORIA,Darebin (C),189
St Paul's School,Primary,145.04147,-37.92283,BENTLEIGH,3204,SOUTH-EASTERN VICTORIA,Glen Eira (C),231
Salesian College Sunbury,Secondary,144.73903,-37.57264,SUNBURY,3429,NORTH-WESTERN VICTORIA,Hume (C),327
St Patrick's School,Primary,147.07768,-37.96726,STRATFORD,3862,SOUTH-EASTERN VICTORIA,Wellington (S),681
St Joseph's School,Primary,146.15219,-38.20721,TRAFALGAR,3824,SOUTH-EASTERN VICTORIA,Baw Baw (S),83
St Patrick's School,Primary,145.06527,-37.90178,MURRUMBEENA,3163,SOUTH-EASTERN VICTORIA,Glen Eira (C),231
St Roch's School,Primary,145.05231,-37.85736,GLEN IRIS,3146,SOUTH-EASTERN VICTORIA,Stonnington (C),635
St Anne's School,Primary,145.04981,-37.79538,KEW EAST,3102,NORTH-EASTERN VICTORIA,Boroondara (C),111
Our Lady of Perpetual Help School,Primary,145.23218,-37.81642,RINGWOOD,3134,NORTH-EASTERN VICTORIA,Maroondah (C),441
St Francis Xavier Primary School,Primary,145.12656,-37.71601,MONTMORENCY,3094,NORTH-WESTERN VICTORIA,Banyule (C),66
St Joseph's School,Primary,144.7418,-38.34047,SORRENTO,3943,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),534
St Cecilia's School,Primary,145.0646,-37.85009,GLEN IRIS,3146,NORTH-EASTERN VICTORIA,Boroondara (C),111
St Joseph's School,Primary,145.00529,-37.88251,ELSTERNWICK,3185,SOUTH-EASTERN VICTORIA,Glen Eira (C),231
St Joseph's School,Primary,142.18796,-34.30235,RED CLIFFS,3496,NORTH-WESTERN VICTORIA,Mildura (RC),478
St Peter's School,Primary,145.02755,-37.65054,EPPING,3076,NORTH-WESTERN VICTORIA,Whittlesea (C),707
Santa Maria College,Secondary,145.00248,-37.77036,NORTHCOTE,3070,NORTH-WESTERN VICTORIA,Darebin (C),189
Sacred Heart School,Primary,145.08692,-37.90184,OAKLEIGH,3166,NORTH-EASTERN VICTORIA,Monash (C),497
St Mark's School,Primary,144.96362,-37.71628,FAWKNER,3060,NORTH-WESTERN VICTORIA,Merri-bek (C),525
St John the Baptist School,Primary,145.29517,-37.88738,FERNTREE GULLY,3156,NORTH-EASTERN VICTORIA,Knox (C),367
St John's School,Primary,145.1904,-37.81744,MITCHAM,3132,NORTH-EASTERN VICTORIA,Whitehorse (C),698
St Mary's School,Primary,145.35422,-36.39605,MOOROOPNA,3629,NORTH-EASTERN VICTORIA,Greater Shepparton (C),283
St Raphael's School,Primary,144.99262,-37.7341,PRESTON WEST,3072,NORTH-WESTERN VICTORIA,Darebin (C),189
St Kevin's College,Pri/Sec,145.0247,-37.8354,TOORAK,3142,SOUTH-EASTERN VICTORIA,Stonnington (C),635
St John the Baptist's School,Primary,145.48527,-38.19746,KOO WEE RUP,3981,SOUTH-EASTERN VICTORIA,Cardinia (S),145
St Vincent de Paul's School,Primary,144.92413,-37.74214,STRATHMORE,3041,SOUTH-WESTERN VICTORIA,Moonee Valley (C),506
St Joseph's College Geelong,Secondary,144.33186,-38.1502,NEWTOWN,3220,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
St Joseph's School,Primary,145.15034,-37.95323,SPRINGVALE,3171,SOUTH-EASTERN VICTORIA,Greater Dandenong (C),267
St Bede's College,Secondary,145.06821,-37.99116,MENTONE,3194,SOUTH-EASTERN VICTORIA,Kingston (C),343
Holy Name School,Primary,145.01857,-37.73026,PRESTON EAST,3073,NORTH-WESTERN VICTORIA,Darebin (C),189
Siena College Ltd,Secondary,145.08258,-37.83366,CAMBERWELL,3124,NORTH-EASTERN VICTORIA,Boroondara (C),111
St Bernard's School,Primary,144.97271,-37.74742,COBURG EAST,3058,NORTH-WESTERN VICTORIA,Merri-bek (C),525
St Oliver Plunkett's School,Primary,144.94186,-37.73089,PASCOE VALE,3044,NORTH-WESTERN VICTORIA,Merri-bek (C),525
Corpus Christi School,Primary,144.87292,-37.80853,KINGSVILLE,3012,SOUTH-WESTERN VICTORIA,Maribyrnong (C),433
St Robert's School,Primary,144.34301,-38.15641,NEWTOWN,3220,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
St Bernard's College,Secondary,144.8832,-37.74939,ESSENDON,3040,SOUTH-WESTERN VICTORIA,Moonee Valley (C),506
Whitefriars College,Secondary,145.19954,-37.7918,DONVALE,3111,NORTH-EASTERN VICTORIA,Manningham (C),421
St Michael's School,Primary,145.08248,-37.86413,ASHBURTON,3147,NORTH-EASTERN VICTORIA,Boroondara (C),111
St Mary's School,Primary,143.9887,-37.5004,CLARKES HILL,3352,SOUTH-WESTERN VICTORIA,Moorabool (S),515
Our Lady of the Sacred Heart College,Secondary,145.03994,-37.92572,BENTLEIGH,3204,SOUTH-EASTERN VICTORIA,Glen Eira (C),231
St Bede's School,Primary,145.0709,-37.79352,BALWYN NORTH,3104,NORTH-EASTERN VICTORIA,Boroondara (C),111
Salesian College Chadstone,Secondary,145.10026,-37.88273,CHADSTONE,3148,NORTH-EASTERN VICTORIA,Monash (C),497
St Patrick's School,Primary,141.64304,-36.33541,NHILL,3418,SOUTH-WESTERN VICTORIA,Hindmarsh (S),298
St Margaret's School,Primary,144.37393,-38.16462,GEELONG EAST,3219,SOUTH-WESTERN VICTORIA,Greater Geelong (C),275
St Kieran's School,Primary,146.25356,-38.17937,MOE,3825,SOUTH-EASTERN VICTORIA,Latrobe (C),381
Marcellin College,Secondary,145.08268,-37.77478,BULLEEN,3105,NORTH-EASTERN VICTORIA,Manningham (C),421
