Bachelor (%),Median_tot_fam_inc_weekly,Median_tot_hhd_inc_weekly,population_est,Certificate_level (%),incidents_recorded,post_gradutae (%),Graduate_diploma_certificate(%),Advanced_&_Diploma (%),Population-2023,Median_tot_prsnl_inc_weekly,Unemployment,crime_index,rate_per_100000_population,crime_per_person,crime_rank,Owner occupied (%),Mortgage (%),Total rented (%),Total_persons,target,dataset
0.2619544904913707,1885.0,1835.0,270488.4763000073,0.2840496867099044,15488.0,0.1111355391887435,0.0290205562273276,0.1815983291194899,15185,676.0,0.076295633144335,1.0127886249176004,5708.9284042095005,0.057089284042095,353.0,0.1727258038455324,0.5459686540636614,0.2572305703667797,9097.0,600.0,train
0.1809171005206247,1580.0,1238.0,127488.31720000444,0.4050861033239888,9525.0,0.0466559871846215,0.0390468562274729,0.1479775730877052,21258,676.0,0.0417543121581825,1.325436158354077,7471.272826558,0.07471272826558,150.0,0.3517828012118387,0.3136797949195992,0.3061058028431601,9988.0,470.0,train
0.3491166077738516,2967.0,2407.0,154650.95189999972,0.1236749116607773,23481.5,0.1625441696113074,0.031095406360424,0.1286219081272084,12512,1346.0,0.0438799076212471,2.532555973975818,14275.615246229,0.14275615246229,15.0,0.0785804816223067,0.2991128010139417,0.596958174904943,1415.0,650.0,train
0.3226886428019572,2121.0,2198.0,291320.7014000036,0.1362348699459181,15267.0,0.2140097862477465,0.0272984805562709,0.1697141385526654,19938,933.0,0.0706040268456375,0.9256717127874156,5217.8642256525,0.052178642256525,424.0,0.0356234096692111,0.6290076335877862,0.3053435114503817,3883.0,560.0,train
0.2142743601971069,2266.0,2143.0,45639.18809999943,0.4112223811794627,3640.0,0.0542044190112859,0.0538865045302813,0.1786679383245906,14814,977.0,0.0285220397579948,1.414906338461557,7975.602002438,0.07975602002438,111.0,0.2670286278381046,0.4807502467917078,0.2189042448173741,6291.0,770.0,train
0.1512820512820512,1726.0,1324.0,46898.96890000154,0.4595441595441595,3758.0,0.0293447293447293,0.0354700854700854,0.1386039886039886,15178,670.0,0.0393266795769402,1.4215354664663655,8012.969342701,0.08012969342701,107.0,0.4173480270174191,0.3750444365446143,0.1644152150728759,7020.0,460.0,train
0.2497275699237195,2172.0,1995.0,349228.5786000296,0.3176534689429713,18622.0,0.1137849618597893,0.0383218307301126,0.1636396658191064,9998,889.0,0.0615604266397917,0.9459774074674177,5332.324197135,0.05332324197135,401.0,0.1900212314225053,0.4865976645435244,0.3005573248407643,11012.0,470.0,train
0.4430342384887839,3024.0,2197.0,140838.11650000303,0.1019775678866588,10393.5,0.2036599763872491,0.0565230224321133,0.1038961038961039,10973,1354.0,0.0396666152183979,1.5152878710305235,8541.436736796,0.0854143673679599,291.5,0.155525238744884,0.2689859026830377,0.5538881309686221,6776.0,520.0,train
0.2372535086160952,1853.0,1430.0,172015.46970000898,0.304316930182981,9535.0,0.0629774382661218,0.0403268786640611,0.1684135725706164,19947,751.0,0.0316425693292249,0.9833710305864628,5543.106103555,0.05543106103555,377.0,0.4854492311602491,0.2884737577837082,0.1884610496886516,11258.0,550.0,train
0.4109261473374413,2894.0,1988.0,130937.48479999317,0.1339096845396854,9996.0,0.172169594408167,0.0547227076243906,0.128023544559919,23932,1210.0,0.0431421208361172,1.439916258172662,8116.578942258333,0.0811657894225833,220.33333333333331,0.1796854172220741,0.2877899226872834,0.5069314849373501,10873.0,900.0,train
0.283335315808255,2070.0,1510.0,295956.6461000104,0.292018555965267,18979.0,0.1137147615082669,0.0517425954561674,0.150231949565838,26663,799.0,0.0462951154189516,1.1376520326714488,6412.763575374,0.0641276357537399,253.0,0.3153051340006458,0.3112689699709396,0.3538908621246367,8407.0,445.0,train
0.258765778401122,1899.0,1434.0,24118.08337000051,0.2745441795231416,1248.5,0.0901122019635343,0.0788920056100981,0.1714586255259467,4935,766.0,0.027027027027027,0.8255840117199784,4653.6857727375,0.0465368577273749,503.0,0.4613821138211382,0.320630081300813,0.1839430894308943,2852.0,295.0,train
0.2941949041239821,2027.0,1979.0,270488.4763000073,0.2206461780929866,15488.0,0.1553279047368881,0.0316959985990718,0.1964801681113737,30758,843.0,0.0624270711785297,1.0127886249176004,5708.9284042095005,0.057089284042095,353.0,0.1116163704009921,0.6258784621744522,0.2350833677828303,11421.0,520.0,train
0.425890124053488,1520.0,1089.0,131663.82222499765,0.0666183341388754,17715.25,0.2257129047849202,0.0226357338488802,0.1177702593845658,18017,638.0,0.1144489495023958,2.2505013570590773,12685.71822878825,0.1268571822878824,22.5,0.1002623474392608,0.0901106421809056,0.7738108817155241,12414.0,500.0,train
0.3631108300966489,2296.0,1763.0,140347.63398333438,0.1377472676361665,17495.333333333332,0.179748893505555,0.0545569505916358,0.1175142263571493,12592,916.0,0.0656158009685689,2.024107849070853,11409.574030004667,0.1140957403000466,108.66666666666669,0.143012211668928,0.269742198100407,0.5594301221166893,11071.0,850.0,train
0.1597193561700371,1516.0,1194.0,49765.83947000105,0.4105103865731187,4187.0,0.0385197413674508,0.0364561837941945,0.1628834777823634,7051,648.0,0.0438700147710487,1.4925739066765793,8413.401732174,0.08413401732174,85.0,0.4014331210191083,0.2864649681528662,0.2652866242038216,7269.0,470.0,train
0.3130323679727427,2363.0,2185.0,223054.78232501767,0.2308347529812606,12455.5,0.1484951731970471,0.0428733674048835,0.163259511641113,9998,851.0,0.058957523784001,1.0487961370882095,5911.897023661,0.05911897023661,323.5,0.233009708737864,0.4653574580759047,0.2497793468667255,7044.0,695.0,train
