postcode,affordability_score,affordability_rank,livability_score
3987,1.0,1.0,0.333267554128646
3761,0.8946566225379678,2.0,0.3994376033070828
3641,0.8752255485418792,3.0,0.3310379766941567
3160,0.874733404275307,4.0,0.4800238131683354
3345,0.8633215109806176,5.0,0.3629605683567739
3735,0.860715208579882,6.0,0.3583244264495876
3438,0.8477402784629177,7.0,0.4131540418956979
3329,0.8450143507550005,8.0,0.41578947368421054
3795,0.8423947487369547,9.0,0.3828469310897212
3078,0.834568571177704,10.0,0.4693911621529404
3766,0.8335155192135614,11.0,0.39550515893782245
3821,0.8332445283143739,12.0,0.31297354793809723
3537,0.8331962981065002,13.0,0.34860605125583144
3331,0.8305081377457608,14.0,0.43157894736842106
3437,0.8283772141304822,15.0,0.3635159196781204
3335,0.8270638456595115,16.0,0.3513883008638672
3016,0.8269806673410982,17.0,0.4564991603926254
3357,0.8257922902594292,18.0,0.3059503993142608
3756,0.8235200058848533,19.0,0.36097208591806623
3102,0.8193392993139059,20.0,0.47969606809907245
