postcode,livability_score,livability_rank,affordability_score
3126,0.7338109426268237,1.0,0.7453815738022094
3123,0.7311577020528428,2.0,0.792612904282709
3183,0.717356407530998,3.0,0.7657677001288079
3162,0.7123539313224196,4.0,0.7599373677836048
3068,0.6885497576421384,5.0,0.7320628065238612
3185,0.6733691005215343,6.0,0.777009796091324
3122,0.6668564582447015,7.0,0.7679682223795768
3144,0.6564668752263496,8.0,0.7326553650099208
3204,0.6553336115356108,9.0,0.6840316204897796
3103,0.6541430793557435,10.0,0.6808771275917754
3189,0.6540150461347669,11.0,0.7241512143033422
3142,0.6532932781425473,12.0,0.7479998981462659
3124,0.6523775896821926,13.0,0.7711472962777017
3146,0.651324458402206,14.0,0.7780848489411476
3039,0.6392975774957886,15.0,0.8004525750714264
3070,0.6358279610620807,16.0,0.763268802787877
3071,0.6325041213864748,17.0,0.7531020778864499
3040,0.6318480876304984,18.0,0.7940984656918446
3057,0.631838953733633,19.0,0.767753287460142
3187,0.6278880197079404,20.0,0.6420803314220374
