,Suburb,Price_today,avg_future,Price_change (%)
145,AVERAGE,556.0896551724138,592.6023592946826,6.56597435011593
119,WENDOUREE-ALFREDTON,430.0,457.9739379437916,6.505566963672468
38,ASPENDALE-CHELSEA-CARRUM,600.0,638.4143641246766,6.40239402077943
101,NOBLE PARK,500.0,531.8593832959482,6.371876659189639
47,MALVERN,600.0,636.9684313778318,6.161405229638641
49,MENTONE-PARKDALE-MORDIALLOC,580.0,615.6883977812755,6.153172031254399
31,EAST HAWTHORN,578.0,613.1190976536238,6.075968452184055
80,IVANHOE-IVANHOE EAST,580.0,615.1427901452437,6.059101749179945
71,MOONEE PONDS-ASCOT VALE,563.0,596.7774243269092,5.999542509220111
6,EAST MELBOURNE,630.0,666.8455109686242,5.84849380454353
13,PORT MELBOURNE,750.0,793.5749999999998,5.809999999999976
42,CARNEGIE,550.0,580.998083237773,5.636015134140548
52,FOOTSCRAY,520.0,549.2562962826258,5.626210823581893
72,OAK PARK-GLENROY-FAWKNER,525.0,554.2851568496624,5.578125114221404
56,ST ALBANS-DEER PARK,460.0,484.8047614875321,5.3923394538113305
61,WILLIAMSTOWN,650.0,684.6304742037438,5.327765262114431
63,BROADMEADOWS-ROXBURGH PARK,510.0,535.9385982118567,5.085999649383675
92,RINGWOOD,550.0,577.1934154554494,4.944257355536262
34,KEW,680.0,713.1213607330851,4.8707883431007515
7,EAST ST KILDA,550.0,574.0891561806476,4.379846578299562
12,NORTH MELBOURNE-WEST MELBOURNE,600.0,626.2297026619427,4.371617110323787
54,MELTON,450.0,468.12811313928216,4.028469586507147
28,CHADSTONE-OAKLEIGH,620.0,644.8926719588026,4.014947090129446
24,BULLEEN-TEMPLESTOWE-DONCASTER,650.0,675.9947872775653,3.9991980427023464
57,SUNSHINE,480.0,498.7287021888027,3.9018129560005597
5,COLLINGWOOD-ABBOTSFORD,630.0,653.6179352504698,3.748878611185687
21,BALWYN,700.0,725.0448854882104,3.5778407840300592
10,FITZROY NORTH-CLIFTON HILL,700.0,723.6206060812544,3.3743722973220627
20,TOORAK,650.0,670.6127117378347,3.171186421205343
83,PRESTON,550.0,565.7208555137926,2.858337366144104
43,CAULFIELD,650.0,667.5417257198935,2.698727033829772
8,ELWOOD,575.0,589.6705316044769,2.5513968007785874
66,CRAIGIEBURN,520.0,532.896568673825,2.4801093603509536
32,GLEN WAVERLEY-MULGRAVE,680.0,696.7727340808361,2.4665785412994308
3,CARLTON-PARKVILLE,600.0,611.4313141543483,1.9052190257247237
35,MOUNT WAVERLEY,670.0,679.1774173479769,1.36976378328013
78,FAIRFIELD-ALPHINGTON,550.0,552.9391156124221,0.5343846568040259
