stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,level_id,platform_code
"40679","40679","Caravan Park/Pyrenees Hwy","-37.27010586","142.94999740","","","0","Level 0",""
"40680","40680","Maude St/Moore St","-37.28655997","142.94516839","","","0","Level 0",""
"40713","40713","Bendigo Station/Railway Pl","-36.76563146","144.28251743","","","0","Level 0","Bay 4"
"40715","40715","Bendigo Station/Railway Pl","-36.76503219","144.28310984","","","0","Level 0","Bay 7"
"40716","40716","Bendigo Station/Railway Pl","-36.76490664","144.28313668","","","0","Level 0","Bay 8"
"40717","40717","Bendigo Station/Railway Pl","-36.76413695","144.28258140","","","0","Level 0","Bay 11"
"40723","40723","Kennedy St/Grano St","-37.27453668","142.96102051","","","0","Level 0",""
"40736","40736","Roulston Way/Darraweit Rd","-37.40523383","144.96826372","","","0","Level 0",""
"40764","40764","High St/Furness St","-36.81864833","144.23757882","","","0","Level 0",""
"40765","40765","Crusoe Rd/Furness St","-36.81680539","144.22886891","","","0","Level 0",""
"40766","40766","Bank St/High St","-36.80112926","144.24261265","","","0","Level 0",""
"40767","40767","Lockwood Rd/High St","-36.79773690","144.24360839","","","0","Level 0",""
"40768","40768","Furness St/High St","-36.81779002","144.23825979","","","0","Level 0",""
"40769","40769","Jacks Ave/High St","-36.81413556","144.23922057","","","0","Level 0",""
"40771","40771","Kangaroo Flat Station/Short St","-36.79509599","144.24864462","","","0","Level 0",""
"40772","40772","La Trobe University Bendigo/Keck St","-36.77834042","144.29803273","","","0","Level 0",""
"40773","40773","Sullivans Rd/Somerville","-36.79984490","144.36272117","","","0","Level 0",""
"40774","40774","Rosella Ave/Sullivans Rd","-36.79976730","144.36613054","","","0","Level 0",""
"40775","40775","Sinclairs Rd/Sullivans Rd","-36.79659292","144.37254819","","","0","Level 0",""
"40776","40776","Sinclairs Rd/Somerset Park Rd","-36.79649230","144.37942080","","","0","Level 0",""
"40777","40777","Binks Rd/Turners Rd","-36.78835020","144.36658888","","","0","Level 0",""
"40778","40778","167 Turners Rd","-36.78752605","144.35990561","","","0","Level 0",""
"40779","40779","Turners Rd/Junortoun Rd","-36.78885568","144.35404474","","","0","Level 0",""
"40780","40780","Sinclairs Rd/Junortoun Rd","-36.79367297","144.35304977","","","0","Level 0",""
"40781","40781","Sullivans Rd/Junortoun Rd","-36.79674925","144.35238356","","","0","Level 0",""
"40782","40782","Elizabeth Dr/Sullivans Rd","-36.79887835","144.35896666","","","0","Level 0",""
"40783","40783","Sullivans Rd/Somerville","-36.80007177","144.36279183","","","0","Level 0",""
"40793","40793","Strickland Rd/Murphy St","-36.74713960","144.30392076","","","0","Level 0",""
"40796","40796","High St/Myrtle St","-36.76417621","144.27170399","","","0","Level 0",""
"40955","40955","Ballarat Wildlife Park/Fussell St","-37.57017983","143.89277958","","","0","Level 0",""
"40969","40969","Munro St/Sturt St","-37.55413757","143.81492736","","","0","Level 0",""
"40971","40971","Dyson Dr/Sturt St","-37.54291172","143.78803355","","","0","Level 0",""
"40978","40978","Cunninghame St/York St","-38.10653866","147.06805052","","","0","Level 0",""
"40979","40979","Dundas St/Macarthur St","-38.10485875","147.07392311","","","0","Level 0",""
"40980","40980","Cunninghame St/Lansdowne St","-38.10681258","147.07692497","","","0","Level 0",""
"40981","40981","Macalister St/Lansdowne St","-38.10934509","147.07703029","","","0","Level 0",""
"40983","40983","Aquatic Centre/Foster St","-38.11129046","147.07910843","","","0","Level 0",""
"40984","40984","Lex Glover Regional Aquatic Complex/Guthridge Pde","-38.11294746","147.08107229","","","0","Level 0",""
"40986","40986","Louise Ct/Montgomery St","-38.11579411","147.08303758","","","0","Level 0",""
"40987","40987","Stafford Dr/Montgomery St","-38.11620614","147.08658590","","","0","Level 0",""
"40988","40988","Ashley Ct/Patten St","-38.11465501","147.08785032","","","0","Level 0",""
"40989","40989","Hutchison St/Patten St","-38.11295133","147.08821332","","","0","Level 0",""
"40990","40990","Antares Ave/Patten St","-38.10945386","147.08892774","","","0","Level 0",""
"40991","40991","Eastwood Park Village/Guthridge Pde","-38.10551993","147.08256970","","","0","Level 0",""
"40992","40992","138 Guthridge Pde","-38.10916159","147.08183236","","","0","Level 0",""
"40993","40993","MacAlister St/Lansdowne St","-38.10900275","147.07681320","","","0","Level 0",""
"40994","40994","MacArthur St/Lansdowne St","-38.10578530","147.07667296","","","0","Level 0",""
"40995","40995","Dundas St/Macarthur St","-38.10505660","147.07459628","","","0","Level 0",""
"40996","40996","Marley St/Macarthur St","-38.10516713","147.07075251","","","0","Level 0",""
"40998","40998","35 Reeve St","-38.10868755","147.06102597","","","0","Level 0",""
"40999","40999","Picton Ct/Guthridge Pde","-38.10331165","147.08280674","","","0","Level 0",""
"41000","41000","St Thomas Primary School/Guthridge Pde","-38.09894879","147.08378266","","","0","Level 0",""
"41001","41001","Rossetti Ct/Gibsons Rd","-38.09121474","147.08532478","","","0","Level 0",""
"41002","41002","Raglan St/McCole St","-38.09811780","147.07299251","","","0","Level 0",""
"41003","41003","Princes Hwy/Dawson St","-38.09375751","147.06989758","","","0","Level 0",""
"41004","41004","Fitzroy St/Raymond St","-38.10134886","147.06535399","","","0","Level 0",""
"41006","41006","Irwin St/Princes Hwy","-38.10767920","147.03680899","","","0","Level 0",""
"41007","41007","Curran St/Frith St","-38.10402999","147.03363629","","","0","Level 0",""
"41008","41008","Frith St/Gould St","-38.10401999","147.03692122","","","0","Level 0",""
"41009","41009","Hickeys Rd/Wirra Mirra Dr","-38.10158676","147.03625847","","","0","Level 0",""
"41011","41011","White Ct/Bennison Dr","-38.10204740","147.03288261","","","0","Level 0",""
"41012","41012","Irwin St/Princes Hwy","-38.10728258","147.03699130","","","0","Level 0",""
"41013","41013","Thomson St/Macarthur St","-38.10547997","147.05917549","","","0","Level 0",""
"41014","41014","Thomson St/MacArthur St","-38.10529057","147.05943768","","","0","Level 0",""
"41015","41015","Carpenter St/Church St","-37.87859704","147.99096052","","","0","Level 0",""
"41016","41016","Lakes Plaza/Church St","-37.87936610","147.98738901","","","0","Level 0",""
"41017","41017","Lakes Entrance Memorial/260 Marine Pde","-37.87896894","147.98315377","","","0","Level 0",""
"41018","41018","134 Marine Pde","-37.88030626","147.97949872","","","0","Level 0",""
"41019","41019","Laura St/Marine Pde","-37.88123759","147.97479203","","","0","Level 0",""
"41020","41020","Howletts Rd/Hazel Rd","-37.87855648","147.96327225","","","0","Level 0",""
"41021","41021","Hazel Rd/Point Rd","-37.87834852","147.96774960","","","0","Level 0",""
"41022","41022","59 Point Rd","-37.87530091","147.97009747","","","0","Level 0",""
"41023","41023","Albatross Rd/Point Rd","-37.87410076","147.97245807","","","0","Level 0",""
"41024","41024","Albatross Rd/Reeves St","-37.87444371","147.97566895","","","0","Level 0",""
"41025","41025","2 Creighton St","-37.87663682","147.97312816","","","0","Level 0",""
"41026","41026","12 Laughtons Rd","-37.87689522","147.96911778","","","0","Level 0",""
"41027","41027","Lookout Rd/Hazel Rd","-37.87855760","147.96313581","","","0","Level 0",""
"41028","41028","105 Esplanade","-37.88199186","147.97730365","","","0","Level 0",""
"41029","41029","Post Office North/Esplanade","-37.88139728","147.98268572","","","0","Level 0",""
"41030","41030","The Black Ball and Basket Mini Golf/Esplanade","-37.88012421","147.98941179","","","0","Level 0",""
"41033","41033","Upland Ave/Lakeview Dr","-37.86977024","147.99456006","","","0","Level 0",""
