listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,land_area,url
17698266,RINGWOOD NORTH,3134,700,3042,"Friday, 26 September 2025",2025-08-04,36,4,2,2,House,21 Tortice Drive,-37.786076,145.23933,2025-09-09 17:06:31,17698266,10,0,2,False,House,House,hockingstuart Ringwood,12997,Samantha O'Regan,"Bath, Heating",,https://www.domain.com.au/21-tortice-drive-ringwood-north-vic-3134-17698266
17711090,RINGWOOD NORTH,3134,800,3476,"Thursday, 18 September 2025",2025-08-12,28,4,2,4,House,36 Evelyn Rd,-37.799854,145.22588,2025-09-09 17:06:31,17711090,6,0,0,False,House,House,Fletchers Maroondah,23129,"Melanie Barley, Amanda Browne",,,https://www.domain.com.au/36-evelyn-rd-ringwood-north-vic-3134-17711090
17733960,RINGWOOD NORTH,3134,850,3693,"Thursday, 02 October 2025",2025-08-27,13,5,3,2,House,1 Suzanne Ct,-37.80275,145.22775,2025-09-09 17:06:31,17733960,13,0,0,False,House,House,Fletchers Maroondah,23129,Penny Makin,,530 m2,https://www.domain.com.au/1-suzanne-ct-ringwood-north-vic-3134-17733960
17735563,RINGWOOD NORTH,3134,650,2824,"Tuesday, 09 September 2025",2025-08-27,12,3,1,2,House,22 Montalbo Road,-37.80693,145.2168,2025-09-09 17:06:31,17735563,11,0,0,False,House,House,Jellis Craig Maroondah,4081,"Mark Hewett, Tina Dekas","Internal Laundry, Study, Air conditioning, Split System Air Con, Split System Heating, Dishwasher, Floorboards, Rumpus Room, Gas",,https://www.domain.com.au/22-montalbo-road-ringwood-north-vic-3134-17735563
