listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17703860,MERBEIN,3505,450,1955,"Tuesday, 02 September 2025",2025-08-06,34,2,1,1,Apartment / Unit / Flat,1-3/105 Commercial Street,-34.16764,142.06134,2025-09-09 17:06:46,17703860,8,0,0,False,Apartment,Apartment / Unit / Flat,Collie & Tierney First National,13656,Hash-Lee Oakley,Built in wardrobes,https://www.domain.com.au/1-3-105-commercial-street-merbein-vic-3505-17703860
17724534,MERBEIN,3505,475,2058,"Sunday, 24 August 2025",2025-08-20,20,3,2,2,House,46 Box St,-34.16681,142.0595,2025-09-09 17:06:46,17724534,13,0,0,False,House,House,One Agency Mildura,34478,Nerrilee Woodberry,Gas,https://www.domain.com.au/46-box-st-merbein-vic-3505-17724534
17751535,MERBEIN,3505,420,1825,"Monday, 08 September 2025",2025-09-08,1,2,1,1,Apartment / Unit / Flat,1/105 Commercial Street,-34.16772,142.06136,2025-09-09 17:06:46,17751535,8,0,0,False,Apartment,Apartment / Unit / Flat,Collie & Tierney First National,13656,Hash-Lee Oakley,Built in wardrobes,https://www.domain.com.au/1-105-commercial-street-merbein-vic-3505-17751535
