listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,property_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,land_area,url
17751046,FITZROY NORTH,3068,400,1738.0,"Thursday, 18 September 2025",2025-09-08,1,,1,,Studio,20/44 Kneen Street,-37.782467,144.98961,2025-09-09 16:19:48,17751046,,5,0,0,False,Apartment,Studio,Woodards,19,Luca Russell,"Internal Laundry, Intercom",,https://www.domain.com.au/20-44-kneen-street-fitzroy-north-vic-3068-17751046
17752859,FITZROY NORTH,3068,850,3693.0,"Tuesday, 07 October 2025",2025-09-09,0,3.0,1,,House,484 Brunswick Street,-37.792286,144.97974,2025-09-09 16:19:48,17752859,,8,0,0,False,House,House,Nelson Alexander Fitzroy,4718,Ebony Newbound,"Built in wardrobes, Internal Laundry, Heating, Air conditioning, Reverse Cycle Air Con",,https://www.domain.com.au/484-brunswick-street-fitzroy-north-vic-3068-17752859
8536820,FITZROY NORTH,3068,695,3019.0,"Saturday, 23 August 2025",2025-08-20,20,3.0,1,,House,681 Brunswick Street North,-37.786114,144.98073,2025-09-09 16:19:52,8536820,,5,0,0,False,House,House,WESTON REAL ESTATE,19419,Mike Weston,,,https://www.domain.com.au/681-brunswick-street-north-fitzroy-north-vic-3068-8536820
15592590,FITZROY NORTH,3068,700,3041.0,"Tuesday, 09 September 2025",2025-08-08,32,2.0,1,,House,40 Batman Street,-37.78369,144.97945,2025-09-09 16:19:52,15592590,IK-1735-JF,10,0,1,False,House,House,LITTLE Real Estate Victoria,24974,Cooper Modica,"Fireplace(s), Dishwasher, Shed, Heating: Reverse Cycle Air Conditioning, Cooling: Reverse Cycle Air Conditioning, Kitchen: Standard, Laundry: In kitchen washing machine provided, Pool/Spa Count: 0",,https://www.domain.com.au/40-batman-street-fitzroy-north-vic-3068-15592590
17645742,FITZROY NORTH,3068,650,2824.0,"Friday, 11 July 2025",2025-06-30,70,2.0,1,,House,10 Eastham Street,-37.782806,144.98628,2025-09-09 16:19:52,17645742,,12,0,1,True,House,House,Woodards,19,Sharyn Webber,"Internal Laundry, Heating",,https://www.domain.com.au/10-eastham-street-fitzroy-north-vic-3068-17645742
17659805,FITZROY NORTH,3068,865,3759.0,"Saturday, 12 July 2025",2025-07-09,62,3.0,1,1.0,House,39 Alexandra Parade,-37.792744,144.97743,2025-09-09 16:19:52,17659805,,11,0,1,False,House,House,Nelson Alexander Northcote,4721,"David Barnes, Jessica Baker","Air conditioning, Internal Laundry, Secure Parking, Bath, Fireplace(s), Heating, Gas",,https://www.domain.com.au/39-alexandra-parade-fitzroy-north-vic-3068-17659805
17671815,FITZROY NORTH,3068,400,1738.0,"Thursday, 14 August 2025",2025-07-16,55,,1,1.0,Studio,12/44 Kneen Street,-37.782467,144.98961,2025-09-09 16:19:52,17671815,,6,0,1,False,Apartment,Studio,Woodards,19,Luca Russell,Internal Laundry,,https://www.domain.com.au/12-44-kneen-street-fitzroy-north-vic-3068-17671815
17684695,FITZROY NORTH,3068,990,5940.0,"Saturday, 26 July 2025",2025-07-24,47,3.0,1,,House,113 Miller Street,-37.776527,144.98375,2025-09-09 16:19:52,17684695,,10,0,0,False,House,House,Nelson Alexander | Carlton,4719,DJ Kaur,"Built in wardrobes, Gas, Internal Laundry, Bath, Heating, Dishwasher",,https://www.domain.com.au/113-miller-street-fitzroy-north-vic-3068-17684695
17715648,FITZROY NORTH,3068,800,3476.0,"Friday, 17 October 2025",2025-08-14,26,2.0,1,1.0,House,88 Newry Street,-37.791084,144.98125,2025-09-09 16:19:52,17715648,,8,0,1,False,House,House,Woodards,19,Jordana Tagell,"Gas, Internal Laundry, Secure Parking",,https://www.domain.com.au/88-newry-street-fitzroy-north-vic-3068-17715648
17723555,FITZROY NORTH,3068,590,2563.0,"Friday, 19 September 2025",2025-08-20,20,2.0,1,1.0,Apartment / Unit / Flat,212/4 Bik Lane,-37.78461,144.97855,2025-09-09 16:19:52,17723555,,7,0,0,False,Apartment,Apartment / Unit / Flat,LITTLE Real Estate Victoria,24974,Amira Khatoun,"Built in wardrobes, Internal Laundry, Heating, Balcony / Deck, Pool/Spa Count: 0",,https://www.domain.com.au/212-4-bik-lane-fitzroy-north-vic-3068-17723555
17725252,FITZROY NORTH,3068,630,2737.0,"Wednesday, 17 September 2025",2025-08-21,19,2.0,1,1.0,House,776 Brunswick Street North,-37.783634,144.98161,2025-09-09 16:19:52,17725252,,7,0,0,False,House,House,Jellis Craig Port Phillip Pty Ltd,17566,Taleah Smith,,189 m²,https://www.domain.com.au/776-brunswick-street-north-fitzroy-north-vic-3068-17725252
17726581,FITZROY NORTH,3068,700,3041.0,"Friday, 19 September 2025",2025-08-21,19,2.0,1,1.0,Apartment / Unit / Flat,Unit 22/9-19 Miller St,-37.77618,144.97964,2025-09-09 16:19:52,17726581,,13,0,1,False,Apartment,Apartment / Unit / Flat,Peter Leahy Real Estate,25056,"Jacob Gioulekas, Rental Department","Internal Laundry, Intercom, Built in wardrobes, Dishwasher, Gas Appliances, Secure Parking, Pets Allowed",,https://www.domain.com.au/unit-22-9-19-miller-st-fitzroy-north-vic-3068-17726581
