listing_id,suburb,postcode,weekly_rent,bond,available_date,date_listed,days_listed,bedrooms,bathrooms,carspaces,property_type,address,lat,lon,scraped_date,domain_page_id,photo_count,video_count,floorplans_count,virtual_tour,primary_type,secondary_type,agency,agency_id,agent_names,structured_features,url
17689603,KEALBA,3021,400,1739,"Saturday, 12 July 2025",2025-07-29,42,2,1,1,Apartment / Unit / Flat,13/250-254 Sunshine Ave,-37.732903,144.81848,2025-09-09 16:46:20,17689603,16,1,0,False,Apartment,Apartment / Unit / Flat,Woodards Essendon,2743,Ashleigh Owens,"Built in wardrobes, Secure Parking, Heating",https://www.domain.com.au/13-250-254-sunshine-ave-kealba-vic-3021-17689603
17692695,KEALBA,3021,490,2129,"Saturday, 16 August 2025",2025-07-30,41,3,1,2,House,45 Rowan Drive,-37.72879,144.82555,2025-09-09 16:46:20,17692695,15,0,0,False,House,House,Avenue West Real Estate,34866,"Patrick Chaudhary, Perccy Chaudhary","Built in wardrobes, Internal Laundry, Bath, Heating, Shed",https://www.domain.com.au/45-rowan-drive-kealba-vic-3021-17692695
17717660,KEALBA,3021,650,2824,"Wednesday, 10 September 2025",2025-08-15,25,3,1,2,House,31 Hedgeley Road,-37.729862,144.81873,2025-09-09 16:46:20,17717660,12,0,1,False,House,House,Pennisi Real Estate,7307,Pennisi Leasing Team,"Garden / Courtyard, Built in wardrobes, Dishwasher, Floorboards, Internal Laundry",https://www.domain.com.au/31-hedgeley-road-kealba-vic-3021-17717660
