,SA2_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,Owner occupied (%),Mortgage (%),Total rented (%),Other tenure (%),Unemployment,post_gradutae (%),Graduate_diploma_certificate(%),Bachelor (%),Advanced_&_Diploma (%),Certificate_level (%),Total_persons
0,201011001,34,1698,865,370,2218,0.8,1952,2.8,0.2922089189658164,0.4093354155821621,0.2824917577650529,0.007634912372028457,0.03650955126031423,0.10018529956763435,0.057072266831377394,0.27584928968499073,0.15812229771463868,0.3266213712168005,8095
1,201011002,45,1700,842,313,2276,0.7,1573,2.2,0.3953534551231136,0.24583002382843527,0.33776806989674346,0.012311358220810167,0.04498269896193772,0.13508896797153025,0.07487544483985765,0.3177224199288256,0.14533807829181494,0.21195729537366548,7025
2,201011005,42,1662,805,330,2270,0.8,1927,2.7,0.43695479777954005,0.40087232355273594,0.14274385408406026,0.008326724821570182,0.0353395913859746,0.09784583441474176,0.07915909680768232,0.28497274850765636,0.15468466130288086,0.2875681287308591,3853
3,201011006,33,1500,775,360,1855,0.7,1627,2.6,0.26356589147286824,0.4478036175710594,0.2560723514211886,0.017829457364341085,0.04655425219941349,0.04829258436047686,0.033946251768033946,0.2065063649222065,0.1456859971711457,0.45403111739745405,4949
4,201011007,41,1733,802,350,2236,0.8,2065,3.0,0.3956989247311828,0.5498207885304659,0.04014336917562724,0.008602150537634409,0.03259452411994785,0.042786069651741296,0.050248756218905476,0.19601990049751244,0.16616915422885573,0.46417910447761196,2010
5,201011008,38,1300,642,260,1517,0.7,1191,2.3,0.31849701661022417,0.2949524270278987,0.355104015481374,0.009353330108047089,0.05386103258443684,0.03817243920412675,0.033603537214443625,0.1694915254237288,0.13795136330140015,0.4384672070744289,6785
6,201011481,41,1300,671,288,1579,0.7,1209,2.1,0.313047711781889,0.2721518987341772,0.3648977604673807,0.03456669912366115,0.05616740088105727,0.07518043303929431,0.053327987169206094,0.22914995990376905,0.1495589414595028,0.34603047313552526,4988
7,201011482,41,1560,837,300,2217,0.7,1644,2.4,0.3609073852976292,0.3585195292512366,0.25686508613337883,0.014497697424526694,0.033704918032786885,0.09518229166666667,0.06471354166666667,0.280859375,0.15677083333333333,0.30494791666666665,7680
8,201011483,37,1387,733,295,1800,0.7,1396,2.3,0.29693604770717663,0.32654739872506683,0.3573925560353691,0.009253547193090685,0.06166263115415658,0.09660163624921334,0.050975456261799876,0.2522026431718062,0.15339836375078666,0.3146633102580239,6356
9,201011484,39,1179,614,260,1362,0.7,1020,2.1,0.28064404432132967,0.26177285318559557,0.4215720221606648,0.016793628808864265,0.06589554854539081,0.038681466532122434,0.03195425496131853,0.16633030608812646,0.14278506559031282,0.4254961318533468,5946
