StopName,StopType,Latitude,Longitude
37 Scott St,Metro Bus,-37.98620582,145.20945245
37-Albion St/Melville Rd,Metro Bus,-37.758651365000006,144.944880915
37-Buckley St/Pascoe Vale Rd,Metro Bus,-37.75825454,144.9263503
38 Queens Pde,Metro Bus,-37.71930644,144.96883448
38-Fletcher St/Pascoe Vale Rd,Metro Bus,-37.75611321,144.92603553
38-Jacobs Reserve/Melville Rd,Metro Bus,-37.756837195,144.945237585
38-Pascoe Vale Rd/Fletcher St,Metro Bus,-37.75581197,144.92581693
382 Narre Warren North Rd,Metro Bus,-38.00001794,145.31220606
384 Barry Rd,Metro Bus,-37.66608266,144.94391694
39-Hoddle St/Fletcher St,Metro Bus,-37.75546977,144.92276188
391 Barry Rd,Metro Bus,-37.66619759,144.94378907
393 Warrandyte Rd,Metro Bus,-37.74568541,145.20478925
395 Kangaroo Ground-Warrandyte Rd,Metro Bus,-37.69831668,145.22438614
396 Park Rd,Metro Bus,-37.78627744,145.20310341
40 Dorking Rd,Metro Bus,-37.81636664,145.13116873
40-Moreland Rd/Melville Rd,Metro Bus,-37.753295975,144.94577822
40-Nicholson St/Fletcher St,Metro Bus,-37.755314139999996,144.920581285
401 Monbulk Rd,Metro Bus,-37.854820454999995,145.418996335
409 Sandy Rd,Metro Bus,-38.41474163,144.82701824
41 Queens Pde,Metro Bus,-37.7193973,144.96887738
41-Woodlands Ave/Melville Rd,Metro Bus,-37.749330400000005,144.946273775
417 Park Rd,Metro Bus,-37.78573067,145.20329834
42 Albert Ave,Metro Bus,-37.85805577,145.29501176
42-Reynard St/Melville Rd,Metro Bus,-37.746849605,144.94457757
43-Princes Tce/Melville Rd,Metro Bus,-37.744025215,144.94488269
44 Lightwood Cres,Metro Bus,-37.64810272,144.9120543
44-Brearley Pde/Melville Rd,Metro Bus,-37.741778984999996,144.945268245
44A-213 Melville Rd,Metro Bus,-37.74016911,144.94545462
45 Dorking Rd,Metro Bus,-37.81583496,145.13117078
45-Bell St/Melville Rd,Metro Bus,-37.74011744,144.94559222
457a Somerville Rd,Metro Bus,-37.808410965,144.843161485
463 Maroondah Hwy,Metro Bus,-37.80032061,145.2505453
465 Victoria St,Metro Bus,-37.76518719,144.94707822
47 Village Glen Dr/47 Village Glen Dr,Metro Bus,-38.36882276,144.87816949
48 Smith St,Metro Bus,-37.7677373,144.9460314
48-Service St/Keilor Rd,Metro Bus,-37.74275454,144.905731635
485 Mt Dandenong Tourist Rd,Metro Bus,-37.86253888,145.36583015
488 Victoria St,Metro Bus,-37.76527667,144.94704169
49 Burton St,Metro Bus,-37.66695776,145.03000859
49 Mayne St,Metro Bus,-37.79246754,144.82224778
5 Heaths Rd,Metro Bus,-37.87953535,144.65161626
50-Cooper St/Keilor Rd,Metro Bus,-37.74003205,144.89935136
51 Westleigh Dr,Metro Bus,-37.91138246,144.63415718
51-Bradshaw St/Keilor Rd,Metro Bus,-37.73877237,144.8959259
52 Scott St,Metro Bus,-37.98610621,145.20942071
52-Treadwell Rd/Keilor Rd,Metro Bus,-37.73723052,144.89234968
53 Church Rd,Metro Bus,-38.08183124,145.13028996
53 Research-Warrandyte Rd,Metro Bus,-37.71132265,145.20424619
53A-Matthews Ave/Keilor Rd,Metro Bus,-37.73655163,144.89016754
54 Research-Warrandyte Rd,Metro Bus,-37.70984992,145.18751548
54-Wilkinson St/Plenty Rd,Metro Bus,-37.72733292,145.02001356
55 Cherry Lane,Metro Bus,-37.834074395,144.80311782500002
56 Church Rd,Metro Bus,-38.08196599,145.13026372
59 Research-Warrandyte Rd,Metro Bus,-37.71318177,145.20441686
59 Staughton St,Metro Bus,-37.703575395,144.56872112000002
590 Pakenham Rd,Metro Bus,-38.02489086,145.50173318
6 Boreham St,Metro Bus,-37.80046487,144.82246718
60 Fitzgerald Rd,Metro Bus,-37.83405154,144.78434814
61 Canterbury Rd,Metro Bus,-37.8149266,145.32853987
62 Bowen St,Metro Bus,-37.843303,145.06257676
62 Burdekin Ave,Metro Bus,-37.8248564,145.30134327
63 Somerset Dr,Metro Bus,-38.28590233,145.01976826
64 Robertsons Rd,Metro Bus,-37.68716304,144.77764847
640 Yea Rd,Metro Bus,-37.48772882,145.18265042
65 Bowen St,Metro Bus,-37.84328667,145.06267946
65 Research-Warrandyte Rd,Metro Bus,-37.71592736,145.2053943
65 Robertsons Rd,Metro Bus,-37.68716777,144.77742154
655 Yea Rd,Metro Bus,-37.48659197,145.18315299
666 Ringwood-Warrandyte Rd,Metro Bus,-37.78637437,145.23394293
668 Ringwood-Warrandyte Rd,Metro Bus,-37.78662204,145.23483413
67 Francis St,Metro Bus,-37.77720053,144.91785065
670 Esplanade,Metro Bus,-38.23347614,145.02732632
70 Belair Ave,Metro Bus,-37.70388727,144.91008146
70 Westleigh Dr,Metro Bus,-37.91135407,144.63408985
71 Finsbury Rd,Metro Bus,-38.157568495,145.29544343499998
711 Clayton Rd,Metro Bus,-37.95496287,145.11382171
715 Lorimer St,Metro Bus,-37.82067754,144.9247407
718 Clayton Rd,Metro Bus,-37.95574785,145.1138813
72 Forrest St,Metro Bus,-37.78432603,144.8171615
723 Mt Dandenong Rd,Metro Bus,-37.80797135,145.32742448
73 Bondi Ave,Metro Bus,-38.16455756,145.14051682
736 Mt Dandenong Rd,Metro Bus,-37.80795863,145.3271635
75 Research-Warrandyte Rd,Metro Bus,-37.71964638,145.20697233
76 Dorset Rd,Metro Bus,-37.77751979,145.29417268
78 Cherry Lane,Metro Bus,-37.83769839,144.79523816
78 Dorset Rd,Metro Bus,-37.77753567,145.29402471
80 Burdekin Ave,Metro Bus,-37.82636306,145.30270624
80 Fairbank Rd,Metro Bus,-37.94187234,145.12984863
80 Gladesville Bvd,Metro Bus,-38.06498721,145.14384989
81 Fairbank Rd,Metro Bus,-37.94216394,145.13175299
81 Harding St,Metro Bus,-37.74580568,144.97379603
816 Heatherton Rd,Metro Bus,-37.9615187,145.14468249
82 Woolnough Dr,Metro Bus,-37.65953051,145.04074737
821 Heatherton Rd,Metro Bus,-37.96140015,145.14459441
83 Fitzgerald Rd,Metro Bus,-37.83324719,144.7842245
85 Bruce Rd ,Metro Bus,-38.30404414,145.00448868
86 Research-Warrandyte Rd,Metro Bus,-37.71307159,145.20428338
870 Yea Rd,Metro Bus,-37.488109235,145.20398359
88 Tram Rd,Metro Bus,-37.78928206,145.12527623
89 Tram Rd,Metro Bus,-37.78929772,145.1251282
9 Palm Beach Dr,Metro Bus,-38.0788465,145.13697834
94 Research-Warrandyte Rd,Metro Bus,-37.71651673,145.20562967
99 Woolnough Dr,Metro Bus,-37.65950593,145.04089539
A'Beckett St/Malvern Rd,Metro Bus,-37.84899671,145.00953533
A'Beckett St/O'Hea St,Metro Bus,-37.73662188,144.95601514
A'Beckett St/Queen St,Metro Bus,-37.81023571,144.95840532
Abberfield Nursing Home/Bluff Rd,Metro Bus,-37.94817537,145.02183787500002
Abbeygate St/Blenheim Rd,Metro Bus,-37.84089887,144.86423185
Abbin Ave/East Boundary Rd,Metro Bus,-37.93215147,145.05663968
Abbotsford Ave/Chadstone Rd,Metro Bus,-37.88066342,145.07946018
Abbotsford St/Haines St,Metro Bus,-37.798450595,144.94635636499999
Abbotsford St/Spencer St,Metro Bus,-37.80590341,144.94455409
Abbotswood Dr/Tarneit Rd,Metro Bus,-37.849160565,144.668945035
Abbott Rd/Hallam South Rd,Metro Bus,-38.00954388,145.27252089
Abbott St/The Avenue,Metro Bus,-37.82612349,144.87065094
Abbotts Rd/England St,Metro Bus,-38.031861155,145.21874352999998
Abbotts Rd/Frankston-Dandenong Rd,Metro Bus,-38.03087924,145.21194273
Abercairn Dr/Baringa Park Dr,Metro Bus,-38.0536977,145.29412906
Abercrombie Gr/Lyndarum Dr,Metro Bus,-37.630032729999996,145.01614553000002
Aberdeen Rd/Bay Rd,Metro Bus,-37.954773855,145.029200915
Aberdeen Rd/Canterbury Rd,Metro Bus,-37.83094481,145.14007262
Ablett Ct/Rosedale Gr,Metro Bus,-38.18353353,145.13526213
Aboyne Cl/Haverbrack Dr,Metro Bus,-37.93279686,145.20501453
Abrahams Ct/Eley Rd,Metro Bus,-37.84547495,145.13001365
Acacia Ave/Blackwood St,Metro Bus,-37.897374935,145.34195606999998
Acacia Ave/Cambridge Rd,Metro Bus,-37.801149495000004,145.33699987
Acacia Cl/The Avenue,Metro Bus,-37.797635905,144.79514101
Acacia Cres/Gladesville Bvd,Metro Bus,-38.074797945,145.14508959
Acacia Rd/Burwood Hwy,Metro Bus,-37.89115146,145.30146969
Acacia St/Alexander Ave,Metro Bus,-37.68125482,145.02324643
Acacia St/The Boulevard,Metro Bus,-37.67812284,145.02376611
Acacia St/Victoria St,Metro Bus,-37.78593479,145.14381337
Acheron Cres/Weidlich Rd,Metro Bus,-37.703630355,145.12833241
Acland St/Barkly St,Metro Bus,-37.869320395,144.980829975
Ada St/Braeburn Pde,Metro Bus,-37.929644185,145.25179083
Adam Cres/Sherbourne Rd,Metro Bus,-37.717390465,145.13734574
Adams Ave/Point Nepean Rd,Metro Bus,-38.353301945,144.91332993999998
Adams St/Dundas St,Metro Bus,-37.7542457,145.01859257
Adderley Dr/Kirkham Dr,Metro Bus,-37.64285023,144.907560445
Adderley St/Dudley St,Metro Bus,-37.81083689,144.94840425
Addicott St/Beach St,Metro Bus,-38.14457373,145.13790918
Addison Ct/Haverbrack Dr,Metro Bus,-37.934287435,145.204955515
Addison St/Glen Huntly Rd,Metro Bus,-37.88190367,144.98021346
Adelaide Bvd/Hannah Pascoe Dr,Metro Bus,-37.70738668,144.89858343
Adelaide St/Barkly St,Metro Bus,-37.79838443,144.88734178
Adelaide St/Forrest St,Metro Bus,-37.784558685,144.819505065
Adelaide St/Grant St,Metro Bus,-38.367193619999995,144.78477207999998
Adelaide St/Heatherton Rd,Metro Bus,-37.96840312,145.20119934500002
Adelaide St/Murrumbeena Rd,Metro Bus,-37.88704839,145.067082
Adelaide St/Point Nepean Rd,Metro Bus,-38.362342240000004,144.786012955
Adelaide St/Princes Hwy,Metro Bus,-37.97187963,145.20018099
Adelaide St/Strachans Rd,Metro Bus,-38.23346354,145.03140524
Adeline St/Grimshaw St,Metro Bus,-37.70376324,145.0947203
Adeline St/Kororoit Creek Rd,Metro Bus,-37.85714278,144.88171547
Adelong Ct/Loch Rd,Metro Bus,-37.96009698,145.22242521
Adeney St/Stanger St,Metro Bus,-37.81583356,144.86351185
Adler Gr/Boundary Rd,Metro Bus,-37.71836352,144.95391915
Adoquin St/Elation Bvd,Metro Bus,-37.61217104,145.12215375
Adrian Ave/Hawthorn Rd,Metro Bus,-37.84565262,145.15555677
Adrian St/East Boundary Rd,Metro Bus,-37.93194224,145.05706617
Adriana Cct/Station Creek Way,Metro Bus,-38.14618591,145.25398861
Adrienne Cres/Ferntree Gully Rd,Metro Bus,-37.8978664,145.11565549
Adventure Way/Fongeo Dr,Metro Bus,-37.91049941,144.73815304
Aerolink Dr/Lambeck Dr,Metro Bus,-37.708932085,144.85258283000002
Affleck Way/Napoleon Rd,Metro Bus,-37.9264492,145.2666967
Agar Dr/Robinsons Rd,Metro Bus,-37.79881782,144.7520808
Age St/Warrigal Rd,Metro Bus,-37.95784593,145.07594896
Agnes St/Buckley St,Metro Bus,-37.97250944,145.17323054
Agra St/Mitcham Rd,Metro Bus,-37.820925765,145.19406092
Agriculture Victoria/475 Mickleham Rd,Metro Bus,-37.66438373,144.884810125
Ahern Rd/Ash Cres,Metro Bus,-38.05901604,145.48738266
Ahern St/Jacksons Rd,Metro Bus,-37.943903395,145.19202736
Ailsa Ave/Darling Rd,Metro Bus,-37.87182542,145.060386
Ainsdale Ave/Boronia Rd,Metro Bus,-37.848478175,145.230433595
Ainsley Ave/Bloomfield Rd,Metro Bus,-37.981186145,145.1771882
Ainslie Dr/Ferntree Gully Rd,Metro Bus,-37.90525793,145.17639626
Aintree Town Centre/Fields St,Metro Bus,-37.72184369,144.66963011
Aircraft Station/Triholm Ave,Metro Bus,-37.867064435,144.7609888
Airdrie Rd/Kooyong Rd,Metro Bus,-37.87419377,145.01728723
Airds Rd/Templestowe Rd,Metro Bus,-37.75654608,145.10978031
Airedale Ave/Auburn Rd,Metro Bus,-37.83769588,145.04231512
Airedale Way/Wentworth Ave,Metro Bus,-37.92285334,145.265774295
Airlie Rd/Badger Creek Rd,Metro Bus,-37.66933507,145.53038616
Airlie Rd/Maroondah Hwy,Metro Bus,-37.67007261,145.51158406
Airlie Rd/Para Rd,Metro Bus,-37.72281399,145.1131569
Airport West Shopping Centre/Louis St ,Metro Bus,-37.713524115,144.888773365
Aitken Bvd/Central Park Ave,Metro Bus,-37.58944084,144.90882506
Aitken Bvd/Craigieburn Rd,Metro Bus,-37.593936735,144.91003564
Aitken Bvd/Lysterfield Dr,Metro Bus,-37.61653372,144.91153293
Aitken Bvd/Marathon Bvd,Metro Bus,-37.58591235,144.91058852
Aitken Creek/Bridgewater Rd,Metro Bus,-37.601099379999994,144.929606225
Aitken Creek/Hothlyn Dr,Metro Bus,-37.60470594,144.938454895
Aitken Ct/Ferntree Gully Rd,Metro Bus,-37.88596594,145.2666116
Aitken Dr/Copperfield Dr,Metro Bus,-37.71665289,144.77188378
Ajana St/Greythorn Rd,Metro Bus,-37.80230709,145.09734726
Ajax Dr/Jells Rd,Metro Bus,-37.905075845,145.1894067
Al Iman College/Rees Rd,Metro Bus,-37.707390075,144.563843995
Al-Taqwa College/Sayers Rd,Metro Bus,-37.851884084999995,144.72197809
Alabaster Ave/Bridge Rd,Metro Bus,-37.71512894,144.58850656
Alamanda College/Alamanda Bvd,Metro Bus,-37.907454765,144.74173224499998
Alameda Ave/Nepean Hwy,Metro Bus,-38.23505877,145.03787438
Alamein Rd/Ramu Pde,Metro Bus,-37.73581471,145.04167709
Alan Marshall Reserve/Main Rd,Metro Bus,-37.70355446,145.16101305
Alan St/Blackburn Rd,Metro Bus,-37.83499301,145.15623136
Alan St/Dorking Rd,Metro Bus,-37.804438255,145.133377645
Alana Ct/Keylana Dr,Metro Bus,-38.00312825,145.1431103
Albany Dr/Hansworth St,Metro Bus,-37.93091296,145.173083045
Albany Dr/Police Rd,Metro Bus,-37.935123950000005,145.1726602
Albany Rise Primary School/Albany Dr,Metro Bus,-37.92870696,145.172915795
Albatross Cl/Fishermans Dr,Metro Bus,-38.21432035,145.33855176
Albermarle St/Macaulay Rd,Metro Bus,-37.79487005,144.93382714
Albert Ave/Boronia Rd,Metro Bus,-37.862931655,145.2919268
Albert Ave/Princes Hwy,Metro Bus,-37.93007562,145.15207223
Albert Hill Rd/Maroondah Hwy,Metro Bus,-37.75659806,145.34185166
Albert Park Shops/Richardson St,Metro Bus,-37.843841495,144.951461615
Albert Pl/Morris Rd,Metro Bus,-37.85482707,144.70554994999998
Albert Rd/Badger Creek Rd ,Metro Bus,-37.6717182,145.53069064
Albert St/Barkly St,Metro Bus,-38.22241061,145.03594112000002
Albert St/Bell St,Metro Bus,-37.74725789,145.02186597999997
Albert St/Buckley St ,Metro Bus,-37.803861145,144.89652178
Albert St/Carlisle St,Metro Bus,-37.8670455,144.97981216
Albert St/Dundas St,Metro Bus,-37.75430963,145.01971455
Albert St/McComas St,Metro Bus,-37.72909559,145.02624125
Albert St/Melbourne Rd,Metro Bus,-37.85274063,144.89024609
Albert St/Park St,Metro Bus,-38.00862431,145.08988994
Albert St/Plenty Rd,Metro Bus,-37.72572021,145.02272283
Albert St/Railway Rd,Metro Bus,-37.81991509,145.15215323
Albert St/Stephensons Rd,Metro Bus,-37.883803175,145.12749815
Alberton Dr/Central Parkway,Metro Bus,-38.09493244,145.25858443
Albion North PS/Furlong Rd,Metro Bus,-37.76173662,144.82314952
Albion North Primary School/Furlong Rd ,Metro Bus,-37.76181099,144.82473651
Albion Rd/William St,Metro Bus,-37.824514525,145.127265105
Albion St/Middlesex Rd,Metro Bus,-37.83116577,145.08915249
Albion St/Somerville Rd,Metro Bus,-37.811508125,144.871729755
Albion Station/Ballarat Rd,Metro Bus,-37.77660757,144.82275875
Albion Station/Sydney St,Metro Bus,-37.77668341,144.82344909
Albury Rd/Balwyn Rd,Metro Bus,-37.799362705,145.08388478
Alcock Rd/Leakes Rd,Metro Bus,-37.83683547,144.72013461
Alcock St/Hughes Pde,Metro Bus,-37.69373929,144.99089896
Alden Ct/Warrigal Rd,Metro Bus,-37.97310252,145.07318276
Alder Ct/Marigold Cres,Metro Bus,-37.7012272,144.89934718
Alder Ct/Roycroft Ave,Metro Bus,-37.67355258,145.05103642
Alder St/Hampstead Rd ,Metro Bus,-37.77601881,144.87939546
Alder St/McClelland Dr,Metro Bus,-38.151021295,145.172888155
Aldergate Ct/Derby Dr,Metro Bus,-37.64250025,145.04198825
Alderney Rd/Henderson Rd,Metro Bus,-37.98127926,145.15944722
Aldinga St/Middleborough Rd,Metro Bus,-37.839303805,145.134686545
Aldridge St/Power Rd,Metro Bus,-37.974665435000006,145.24195707
Aleja Ct/Corrigan Rd,Metro Bus,-37.97773889,145.16587141
Alex Ave/South Rd,Metro Bus,-37.93752295,145.07090354000002
Alex Fraser Dr/Dohertys Rd,Metro Bus,-37.826724014999996,144.769491255
Alexander Ave/Newlands Rd,Metro Bus,-37.73225323,144.97178268
Alexander Bvd/Burnbank Pde ,Metro Bus,-38.10311956,145.386698425
Alexander Cres/Forest Rd,Metro Bus,-37.87183118,145.29721814
Alexander St/Centre Rd,Metro Bus,-37.920466095,145.05381324500001
Alexander St/Hawthorn Rd,Metro Bus,-37.90621215,145.01807156
